region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
3543003,Adjala-Tosorontio,2017,SECONDARY,Secondary,secondary,0.924,1.164,<$5M,2,2.0,4.0,0.123,0.882,0.164,False
3543003,Adjala-Tosorontio,2018,541330,Engineering Services,secondary,0.924,1.137,<$5M,2,2.0,4.0,0.267,1.363,0.283,False
3543003,Adjala-Tosorontio,2018,ALL,All,all,0.924,1.137,<$5M,2,2.0,4.0,0.134,0.855,0.188,False
3543003,Adjala-Tosorontio,2018,SECONDARY,Secondary,secondary,0.924,1.137,<$5M,2,2.0,4.0,0.135,0.859,0.19,False
3543003,Adjala-Tosorontio,2019,541330,Engineering Services,secondary,0.924,1.116,<$5M,2,2.0,4.0,0.243,1.158,0.245,False
3543003,Adjala-Tosorontio,2019,ALL,All,all,0.924,1.116,<$5M,2,2.0,4.0,0.123,0.734,0.162,False
3543003,Adjala-Tosorontio,2019,SECONDARY,Secondary,secondary,0.924,1.116,<$5M,2,2.0,4.0,0.125,0.738,0.164,False
3543003,Adjala-Tosorontio,2020,541330,Engineering Services,secondary,0.924,1.107,<$5M,2,2.0,4.0,0.192,1.156,0.197,False
3543003,Adjala-Tosorontio,2020,ALL,All,all,0.924,1.107,<$5M,2,2.0,4.0,0.113,0.732,0.143,False
3543003,Adjala-Tosorontio,2020,SECONDARY,Secondary,secondary,0.924,1.107,<$5M,2,2.0,4.0,0.114,0.736,0.144,False
3543003,Adjala-Tosorontio,2021,541330,Engineering Services,secondary,0.924,1.071,<$5M,2,2.0,4.0,0.224,1.143,0.24,False
3543003,Adjala-Tosorontio,2021,ALL,All,all,0.924,1.071,<$5M,2,2.0,4.0,0.119,0.722,0.162,False
3543003,Adjala-Tosorontio,2021,SECONDARY,Secondary,secondary,0.924,1.071,<$5M,2,2.0,4.0,0.12,0.725,0.164,False
3543003,Adjala-Tosorontio,2022,333310,Commercial and Service Industry Machinery Manufact,secondary,,,<$5M,<2,,,,,,True
3543003,Adjala-Tosorontio,2022,541330,Engineering Services,secondary,0.924,1.003,<$5M,2,2.0,4.0,0.217,1.087,0.237,False
3543003,Adjala-Tosorontio,2022,ALL,All,all,3.696,4.014,<$5M,3,4.3,13.0,0.451,0.984,0.49,False
3543003,Adjala-Tosorontio,2022,SECONDARY,Secondary,secondary,3.696,4.014,<$5M,3,4.3,13.0,0.455,0.988,0.494,False
3543003,Adjala-Tosorontio,2023,333310,Commercial and Service Industry Machinery Manufact,secondary,,,<$5M,<2,,,,,,True
3543003,Adjala-Tosorontio,2023,541330,Engineering Services,secondary,0.78,0.815,<$5M,2,2.0,4.0,0.183,1.031,0.215,False
3543003,Adjala-Tosorontio,2023,ALL,All,all,2.328,2.433,<$5M,3,4.3,13.0,0.285,0.929,0.436,False
3543003,Adjala-Tosorontio,2023,SECONDARY,Secondary,secondary,2.328,2.433,<$5M,3,4.3,13.0,0.287,0.934,0.441,False
3543003,Adjala-Tosorontio,2024,333310,Commercial and Service Industry Machinery Manufact,secondary,,,<$5M,<2,,,,,,True
3543003,Adjala-Tosorontio,2024,541330,Engineering Services,secondary,0.78,0.796,<$5M,2,2.0,4.0,0.162,1.01,0.163,False
3543003,Adjala-Tosorontio,2024,ALL,All,all,2.328,2.376,<$5M,3,4.3,13.0,0.275,0.903,0.337,False
3543003,Adjala-Tosorontio,2024,SECONDARY,Secondary,secondary,2.328,2.376,<$5M,3,4.3,13.0,0.279,0.908,0.342,False
3543003,Adjala-Tosorontio,2025,333310,Commercial and Service Industry Machinery Manufact,secondary,,,<$5M,<2,,,,,,True
3543003,Adjala-Tosorontio,2025,541330,Engineering Services,secondary,0.78,0.78,<$5M,2,2.0,4.0,0.154,0.984,0.167,False
3543003,Adjala-Tosorontio,2025,ALL,All,all,2.328,2.328,<$5M,3,4.3,13.0,0.27,0.871,0.348,False
3543003,Adjala-Tosorontio,2025,SECONDARY,Secondary,secondary,2.328,2.328,<$5M,3,4.3,13.0,0.273,0.875,0.351,False
4806021,Airdrie,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,,,>=$5M,<2,,,,,,True
4806021,Airdrie,2017,541330,Engineering Services,secondary,4.851,6.108,<$5M,6,3.5,21.0,0.099,0.57,0.103,False
4806021,Airdrie,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,2.352,2.962,<$5M,2,8.0,16.0,0.786,0.784,0.82,False
